游资标签,标签类型,席位ID,当前分组,当前元数据有效,开盘红完整标签,营业部全称,营业部归一键,独立观测次数,双源证据记录数,YYB日表匹配次数,龙虎榜动向匹配次数,名称直接命中观测,金额精确命中观测,首次观测,最近观测,金额中位误差_pct,金额最大误差_pct,标签观测占比_pct,置信度,匹配依据
列夫,游资别名/路线席位,59,历史标签,否（历史标签）,,海通证券股份有限公司绍兴劳动路证券营业部,海通证券股份有限公司绍兴劳动路证券营业部,1,1,0,1,0,1,2025-03-13,2025-03-13,0.000194,0.000194,100.0,C-低,同日同股金额精确匹配
呼家楼,游资别名/路线席位,84,历史标签,否（历史标签）,,中信建投证券股份有限公司北京东城分公司,中信建投证券股份有限公司北京东城分公司,30,30,0,30,0,30,2025-02-14,2025-09-23,8.5e-05,0.000309,81.08,A-高,同日同股金额精确匹配
呼家楼,游资别名/路线席位,84,历史标签,否（历史标签）,,中信证券股份有限公司北京总部证券营业部,中信证券股份有限公司北京总部证券营业部,4,4,0,4,0,4,2025-01-09,2025-09-15,6.3e-05,0.000154,10.81,A-高,同日同股金额精确匹配
呼家楼,游资别名/路线席位,84,历史标签,否（历史标签）,,东方财富证券股份有限公司拉萨金融城南环路证券营业部,东方财富证券股份有限公司拉萨金融城南环路证券营业部,1,1,0,1,0,0,2025-07-31,2025-07-31,1.461484,1.461484,2.7,C-低,同日同股金额近似匹配
呼家楼,游资别名/路线席位,84,历史标签,否（历史标签）,,中信建投证券股份有限公司北京朝外大街证券营业部,中信建投证券股份有限公司北京朝外大街证券营业部,1,1,0,1,0,1,2025-07-11,2025-07-11,0.000137,0.000137,2.7,C-低,同日同股金额精确匹配
呼家楼,游资别名/路线席位,84,历史标签,否（历史标签）,,中信证券股份有限公司北京呼家楼证券营业部,中信证券股份有限公司北京呼家楼证券营业部,1,1,0,1,1,1,2025-03-04,2025-03-04,7.6e-05,7.6e-05,2.7,B-中,营业部名称直接含标签；同日同股金额精确匹配
大小说家,游资别名/路线席位,98,历史标签,否（历史标签）,,中信建投证券股份有限公司福州东街证券营业部,中信建投证券股份有限公司福州东街证券营业部,2,2,0,2,0,2,2025-04-17,2025-04-22,0.000144,0.00023,100.0,B-中,同日同股金额精确匹配
毛老板,游资别名/路线席位,81,历史标签,否（历史标签）,,国泰君安证券股份有限公司北京光华路证券营业部,国泰系北京光华路证券营业部,13,13,0,13,0,13,2025-01-02,2025-02-21,8.3e-05,0.000443,81.25,A-高,同日同股金额精确匹配
毛老板,游资别名/路线席位,81,历史标签,否（历史标签）,,方正证券股份有限公司乐山龙游路证券营业部,方正证券股份有限公司乐山龙游路证券营业部,2,2,0,2,0,2,2025-01-16,2025-02-24,4.5e-05,5.7e-05,12.5,B-中,同日同股金额精确匹配
毛老板,游资别名/路线席位,81,历史标签,否（历史标签）,,东方财富证券股份有限公司拉萨团结路第一证券营业部,东方财富证券股份有限公司拉萨团结路第一证券营业部,1,1,0,1,0,0,2025-01-27,2025-01-27,1.66551,1.66551,6.25,C-低,同日同股金额近似匹配
流沙河,游资别名/路线席位,49,历史标签,否（历史标签）,,中国银河证券股份有限公司绍兴证券营业部,中国银河证券股份有限公司绍兴证券营业部,146,146,0,146,0,146,2025-01-02,2025-10-28,8.2e-05,0.000449,100.0,A-高,同日同股金额精确匹配
相城大道,游资别名/路线席位,105,历史标签,否（历史标签）,,东吴证券股份有限公司苏州相城大道证券营业部,东吴证券股份有限公司苏州相城大道证券营业部,8,8,0,8,8,8,2025-12-29,2026-01-23,5.7e-05,0.000146,100.0,A-高,营业部名称直接含标签；同日同股金额精确匹配
血牛,游资别名/路线席位,104,历史标签,否（历史标签）,,国泰海通证券股份有限公司重庆观音桥步行街证券营业部,国泰系重庆观音桥步行街证券营业部,2,2,0,2,0,2,2025-12-26,2025-12-30,0.000114,0.000161,100.0,B-中,同日同股金额精确匹配
西湖国贸,游资别名/路线席位,58,历史标签,否（历史标签）,,财信证券股份有限公司杭州西湖国贸中心证券营业部,财信证券股份有限公司杭州西湖国贸中心证券营业部,1,1,0,1,1,1,2025-01-16,2025-01-16,0.000422,0.000422,100.0,B-中,营业部名称直接含标签；同日同股金额精确匹配
鑫多多,游资别名/路线席位,99,历史标签,否（历史标签）,,广发证券股份有限公司南京汉中路证券营业部,广发证券股份有限公司南京汉中路证券营业部,29,29,0,29,0,29,2025-05-22,2026-04-15,7.7e-05,0.000283,78.38,A-高,同日同股金额精确匹配
鑫多多,游资别名/路线席位,99,历史标签,否（历史标签）,,中泰证券股份有限公司烟台正阳路证券营业部,中泰证券股份有限公司烟台正阳路证券营业部,3,3,0,3,0,3,2025-06-17,2025-08-01,0.00023,0.000316,8.11,A-高,同日同股金额精确匹配
鑫多多,游资别名/路线席位,99,历史标签,否（历史标签）,,中泰证券股份有限公司烟台南大街证券营业部,中泰证券股份有限公司烟台南大街证券营业部,2,2,0,2,0,2,2025-08-15,2025-08-21,2.7e-05,4.4e-05,5.41,B-中,同日同股金额精确匹配
鑫多多,游资别名/路线席位,99,历史标签,否（历史标签）,,川财证券有限责任公司北京分公司,川财证券有限责任公司北京分公司,2,2,0,2,0,2,2025-07-08,2025-10-22,4.2e-05,8.3e-05,5.41,B-中,同日同股金额精确匹配
鑫多多,游资别名/路线席位,99,历史标签,否（历史标签）,,国信证券股份有限公司浙江互联网分公司,国信证券股份有限公司浙江互联网分公司,1,1,0,1,0,0,2025-12-12,2025-12-12,0.590573,0.590573,2.7,C-低,同日同股金额近似匹配
陈小群,游资别名/路线席位,73,历史标签,否（历史标签）,,中国银河证券股份有限公司大连黄河路证券营业部,中国银河证券股份有限公司大连黄河路证券营业部,191,191,0,191,0,191,2025-01-02,2026-01-23,5.9e-05,0.000411,88.43,A-高,同日同股金额精确匹配
陈小群,游资别名/路线席位,73,历史标签,否（历史标签）,,中国银河证券股份有限公司沈阳大北关街证券营业部,中国银河证券股份有限公司沈阳大北关街证券营业部,24,24,0,24,0,24,2025-05-19,2025-06-06,6.8e-05,0.000288,11.11,A-高,同日同股金额精确匹配
陈小群,游资别名/路线席位,73,历史标签,否（历史标签）,,东方财富证券股份有限公司拉萨团结路第一证券营业部,东方财富证券股份有限公司拉萨团结路第一证券营业部,1,1,0,1,0,0,2025-02-17,2025-02-17,2.492373,2.492373,0.46,C-低,同日同股金额近似匹配
